,track_name,track_id,track_pop,artist_name,featured_artist,album_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,valence,tempo,track_lyrics,playlist_name
. And my money's right
. 8… (yeah)
. Countin' them bands all way to the top, 'til they be fallin' over
. Countin' them bands, on the way to the top, 'til it's fallin' over. 
. [Chorus]
. I don't really care if you cry
. On the real you should've never lied
. Should've saw the way she looked me in my eyes
. She said, ""Baby, I am not afraid to die""
. Push me to the edge
. All my friends are dead
. Push me to the edge
. All my friends are dead
. Push me to the edge
. All my friends are dead
. Push me to the edge. 
. [Verse 1]
. Phantom that's all red, inside all white
. Like somethin' you ride a sled down, I just want that head
. My Brittany got mad, I'm barely her man now
. Everybody got the same swag now, watch the way that I tear it down
. Stackin' my bands all the way to the top, all the way 'til my bands fallin' over
. Every time that you leave your spot, your girlfriend call me like, ""Come on over""
. I like the way that she treat me, gon' leave you, won't leave me, I call it that Casanova
. She say I'm insane, yeah, I might blow my brain, yeah!
. Xanny help the pain, yeah
. Please, Xanny make it go away
. I'm committed, not addicted, but it keep control of me
. All the pain, now I can't feel it, I swear that it's slowin' me, yeah. 
. [Chorus]
. I don't really care if you cry
. On the real, you should've never lied
. Saw the way she looked me in my eyes
. She said ""I am not afraid to die""
. All my friends are dead
. Push me to the edge
. All my friends are dead, yeah
. Push me to the edge
. All my friends are dead, yeah
. All my friends are dead, yeah. 
. [Verse 2]
. That is not your swag, I swear you fakin'
. Now these niggas wanna take my cadence
. Rain on 'em, thunderstorm, rain on 'em
. Medicine, lil' nigga take some
. Fast car, Nascar, race on 'em
. In the club, ain't got no ones, then we would become
. Clothes from overseas, got the racks and they all C-Notes
. You is not a G, though
. Lookin' at you stackin’ all your money, it all green though
. I was countin' that and these all twenties, that's a G-roll. 
. [Bridge]
. She say, ""You're the worst; you're the worst""
. I cannot die, nigga this my universe. 
. [Chorus]
. I don't really care if you cry
. On the real, you should've never lied
. Should've saw the way she looked me in my eyes
. She said, ""Baby, I am not afraid to die""
. Push me to the edge
. All my friends are dead
. Push me to the edge
. All my friends are dead
. Push me to the edge
. All my friends are dead
. Push me to the edge</p>",Best Hip-Hop Playlist

7,Mask Off,0VgkVdmE4gld66l8iyGjgx,83,Future,None,FUTURE,1RyvyyTE3xzB2ZywiAwp0i,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.281,150.062,"Hendrix
. I promise, I swear, I swear
. You heard
. Spit it
. Yo. 
. Percocets, molly, Percocets
. Percocets, molly, Percocets
. Rep the set, gotta rep the set
. Chase a check, never chase a bitch
. Mask on, fuck it, mask off
. Mask on, fuck it, mask off
. Percocets, molly, Percocets
. Chase a check, never chase a bitch
. Don't chase no bitches. 
. Two cups, toast up with the gang
. From food stamps to a whole 'nother domain
. Out the bottom, I’m the livin' proof (Super)
. They compromising, half a million on the Coupe
. Drug houses, lookin' like Peru
. Graduated, I was overdue
. Pink molly, I can barely move
. Ask about me, I’m gon' bust a move
. Rick James, 33 chains
. Ocean Ave., cruisin' Biscayne
. Top off, that’s a liability
. Hit the gas, boostin' my adrenaline. 
. Percocets, molly, Percocets
. Percocets, molly, Percocets
. Rep the set, gotta rep the set
. Chase a check, never chase a bitch
. Mask on, fuck it, mask off
. Mask on, fuck it, mask off
. Percocets, molly, Percocets
. Chase a check, never chase a bitch
. Don't chase no bitches. 
. Before the Maybach, I’d drive anything
. Buy my Range, make ‘em go insane. 
. My guillotine, drank promethazine
. Tec and beams, go to those extremes
. Parliament, call up Mari Wednesday
. Parlay in Vegas, we was in attendance
. Before the business?, Theodore lenses
. Whole prescriptions, focus on the missions
. Intermission, never take a break
. Switch states, touch down, foreign plates
. Ain’t no way, ain’t no fucking way
. We call the play, we didn’t come to play
. Rob the bank, we gon' rob the game
. They gang, we gang...but they are not the same (Freebandz). 
. Percocets, molly, Percocets
. Percocets, molly, Percocets
. Rep the set, gotta rep the set
. Chase a check, never chase a bitch
. Mask on, fuck it, mask off
. Mask on, fuck it, mask off
. Percocets, molly, Percocets
. Chase a check, never chase a bitch
. Don't chase no bitches. 
. Mask on, fuck it, mask off
. Mask on, fuck it, mask off
. Mask on, fuck it, mask off
. Gas gone, never nod off</p>",Best Hip-Hop Playlist

8,Rolex,0pSBuHjILhNEo55xK1zrRt,71,Ayo & Teo,None,Rolex,27mFvqQj8KpjmdKIqcw1mG,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.789,144.946,". 
. [Chorus: Teo]
. I just want a Rollie, Rollie, Rollie with a dab of ranch
. I already got some designer to hold up my pants
. I just want some ice on my wrist so I look better when I dance
. Have you lookin' at it, put you in a trance
. I just want a Rollie, Rollie, Rollie with a dab of ranch
. I already got some designer to hold up my pants
. I just want some ice on my wrist so I look better when I dance
. Have you lookin' at it, put you in a trance
. Yeah, yeah, yeah
. All I ever wanted was a Rollie, Rollie
. All I ever wanted was a Rollie, Rollie
. Cooler than a snowman with the ice all on me
. Now your chick all on me, now your chick all on me (she on me). 
. [Verse 1: Teo]
. My Rollie don't tick tock, it just glide
. Keep starin' at it and you might go blind
. I be movin' clean, I don't even try
. All I see is bands, bands, I spy
. Yeah, dat way
. I need that moola by Tuesday
. Yeah, dat way
. I low key feel like fungswae
. I just now got started
. Got views on views, I'm poppin'
. My diamonds goin' retarded
. Your girl on deck, it's a party. 
. [Chorus: Teo]
. I just want a Rollie, Rollie, Rollie with a dab of ranch
. I already got some designer to hold up my pants
. I just want some ice on my wrist so I look better when I dance
. Have you lookin' at it, put you in a trance
. I just want a Rollie, Rollie, Rollie with a dab of ranch
. I already got some designer to hold up my pants
. I just want some ice on my wrist so I look better when I dance
. Have you lookin' at it, put you in a trance
. Yeah, yeah, yeah
. All I ever wanted was a Rollie, Rollie
. All I ever wanted was a Rollie, Rollie
. Cooler than a snowman with the ice all on me
. Now your chick all on me, now your chick all on me (she on me). 
. [Verse 2: Ayo]
. Blue face Rollie, red face Rollie, ayy
. Purple face Rollie like some Teletubbies, ayy
. Baby diamonds wet, shinin' like some guppies
. Your man's hatin', probably 'cause his girl love me, ayy
. I pull up to the mall and I'm flexin' on your hoe
. Galio in the cut, and he got them buffies ayy
. Whiteskins got me goin' crazy, crazy, ayy
. Your girl love me 'cause she prolly want my baby, ayy (woo)
. Ice on my neck cost like five K
. I want a girl built just like Kim K (she thick)
. Karate chop that bitch just like a sensei
. Pull over in a 'Rari or a Bentley, ayy. 
. [Chorus: Teo]
. I just want a Rollie, Rollie, Rollie with a dab of ranch
. I already got some designer to hold up my pants
. I just want some ice on my wrist so I look better when I dance
. Have you lookin' at it, put you in a trance
. I just want a Rollie, Rollie, Rollie with a dab of ranch
. I already got some designer to hold up my pants
. I just want some ice on my wrist so I look better when I dance
. Have you lookin' at it, put you in a trance
. Yeah, yeah, yeah
. All I ever wanted was a Rollie, Rollie
. All I ever wanted was a Rollie, Rollie
. Cooler than a snowman with the ice all on me
. Now your chick all on me, now your chick all on me (she on me). 
. [Outro: Teo]
. All I ever wanted was a Rollie
. All I ever wanted was a Rollie
. I just want a Rollie
. I just want a Rollie
. I just want a
. I just want a Rollie</p>",Best Hip-Hop Playlist

9,Look At Me!,6eYxmK9fdL4hwLnXG2zY3s,61,XXXTENTACION,None,Revenge,15UsOTVnJzReFVN1VCnxy4,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.349,139.059,"Can't keep my dick in my pants, aye
. My bitch don't love me no more, aye
. She kick me out, I'm like VRO. 
. ""Damn son, where'd you find this?""
. Yeah...
. Aye...
. Yeah, aye, yeah, aye, haha, yeah
. Yeah, yeah aye
. Aye, aye, aye. 
. I'm like ""Bitch, who is your mans?"", aye
. Can't keep my dick in my pants, aye
. My bitch don't love me no more, aye
. She kick me out, I'm like VRO, aye
. That bitch don't wanna be friends, aye
. I gave her dick, she amen, aye
. She put her tongue on my dick, aye
. Look at my wrist, about 10, aye
. Just got a pound of that boof, aye
. Brought that shit straight to the booth, aye
. Tommy my Hilfiger voots, aye
. She said, ""Wan' fuck?"" bitch, I do, aye
. You pull a gun on my mans, aye
. I put a hole in your parents, aye
. I just got lean on my ksubis, aye
. I got an uzi, no Uzi. 
. Fuck on me, look at me, aye
. Fuck on me, yeah, look at me, aye
. Look at me, look at me, yeah
. Fuck on me, yeah
. Look at me, yeah, fuck on me
. Look at me, fuck on me, yeah
. Look at me, fuck on me
. Yeah, aye. 
. I took a white bitch to Starbucks
. That little bitch got her throat fucked
. I like to rock out like I'm misfit
. My emo bitch like her wrist slit
. Curly hair bitch like I'm Corbin
. Got like three bitches; I'm Mormon
. Skeet on your main bitch's forehead
. Don't want your pussy, just want head. 
. Look at me, fuck on me
. Look at me, fuck on me
. Look at me, fuck on me
. Look at me, yeah!
. Look at me, fuck on me
. Look at me, fuck on me
. Look at me, fuck on me
. Look at me, yeah!</p>",Best Hip-Hop Playlist
